1,Perfect,2
2,Incorrect,4
3,Incorrect,18
4,Incorrect,10
5,Incorrect,2
6,Incorrect,2
7,Acceptable,3
8,Incorrect,2
9,Incorrect,22
10,Incorrect,2
11,Perfect,4
12,Incorrect,2
13,Perfect,1
14,Incorrect,18
15,Incorrect,4
16,Perfect,19
17,Missing,4
18,Incorrect,8
19,Incorrect,2
20,Incorrect,23
21,Perfect,16
22,Perfect,5
23,Acceptable,17
24,Perfect,2
25,Perfect,2
26,Incorrect,3
27,Missing,5
28,Incorrect,7
29,Perfect,5
30,Acceptable,3
31,Incorrect,21
32,Perfect,2
33,Perfect,5
34,Incorrect,46
35,Perfect,4
36,Perfect,4
37,Missing,5
38,Missing,4
39,Missing,5
40,Incorrect,2
41,Perfect,3
42,Missing,5
43,Missing,5
44,Incorrect,15
45,Perfect,10
46,Perfect,1
47,Perfect,4
48,Perfect,4
49,Incorrect,2
50,Incorrect,2
51,Perfect,1
52,Perfect,3
53,Missing,5
54,Missing,4
55,Perfect,2
56,Perfect,6
57,Perfect,5
58,Perfect,2
59,Perfect,5
60,Missing,5
